特殊陈列拍照,Special display and photo
新首页报表测试,New home report test
报表测试,Report test
链接到测试报表表单,Link to the test report form
请选择数据重复的处理方式1,Please select the process of data duplication 1
查询-岗位名称,Query - post name
查询-帐号关联状态,Query - account association state
查询-邮箱,Query - mailbox
查询-工号,Query - work number
查询-手机号码,Query - mobile phone number
终端管理转换营销组织,Terminal management transformation marketing organization
是否将选中的客户的营销组织替换为以下值？,Do you want to replace the marketing organization of the selected customer with the following values?
是否将当前查询得到的所有客户的营销组织替换为以下值？,Do you want to replace the marketing organization of all the customers currently queried for the following values?
test_历史拜访记录分组,Test_ history visit record group
分组列表,Packet list
上次工作计划,Last work plan
时间,time
今日工作总结,Summary of today's work
明日工作计划,Tomorrow's work plan
写日报,Write a daily newspaper
接收人,Recipient
补写报告,Write up Report
报告详情,Details of the report
补写,Supplement and write
我发出的,I sent out
我收到的,I received it
工作报告,Work report
月报,Monthly report
周报,weekly
日报,daily
分组历史记录,Group history record
写周报,Write a weekly newspaper
写月报,Write a monthly report
自定义页面-组织管理,Custom page organization management
查看进店签到,Check in to sign in
查看离店签退,Check out and sign off
查看生动化检查,View vividness check
不达标,Fail to reach the standard
达标,Reach the standard
查看终端检查,View terminal check
渠道管理转换营销组织,Channel management transformation marketing organization
拜访计划-已计划,Visit plans - planned
客户状态,Customer status
拜访计划-未计划,Visit plans - unplanned
修改拜访计划,Revise the visit plan
查询-是否有效地址,Query - whether or not the address is valid
是否有效地址,Whether or not the address is valid
修改拜访计划,Revise the visit plan
编辑当前计划,Edit the current plan
已计划,Already planned
未计划,Unplanned
工作计划,Work plan
我的报告,My report
人员照片,Photos of people
更新时间,Update time
报告摘要,Summary of the report
人员名称,Name of personnel
更新人,Renewing
报告状态,Reporting state
人员组织,Organization of personnel
报告类型,Report type
报告所属时间,The time of the report
发送人列表,Sender list
发送人,Sender
查询-报告类型,Query - report type
查询-报告所属时间,Query - reporting time
查询-报告时间,Query - reporting time
查询-报告所属起始时间,Query - the start time of the report
查询-报告所属结束时间,The end time of the query - Report
报告人,Rapporteur
查看品项检查,Check item check
接受人,Recipient
工作总结,Work summary
所属时间：,The time to belong:
客户类型type,Customer type type
添加,Add to
KPI编辑,KPI editor
编辑,edit
批量设置,Batch setup
KPI设置,KPI settings
距离,distance
查看拜访签到,Visit a check in
查看拜访签退,Check in and sign back
查看库存盘点,Check inventory inventory
test品项,Test item
取事件专用表单,Take the event specific form
test品项检查,Test item inspection
test盘点,Test inventory
补写内容,Write up content
查看进店签到1,Check in to sign in 1
当数据重复时如何处理：,How to deal with the data when the data is repeated:
当数据重复时如何处理,How to deal with the data duplication
覆盖导入,Overlay import
客户排序,Customer sort
查询-报告人,Inquire - Reporter
写报告,Write a report
横杠,Horizontal bar
打卡时间段,Punch time
迟到明细,Late detail
确认,confirm
个人中心,Personal Center
修改密码,Modify the password
终端拜访统计,Terminal visit statistics
终端客户情况分析,Analysis of terminal customer situation
本地报告,Local report
总经理,General manager
经理,manager
资讯文件,Information file
通知公告,Notice Bulletin
公告标题,Bulletin title
是否置顶标识位,Whether or not the top marking position is placed
发布时间,Release time
创建人姓名,Name of the Creator
filter-公告类型,Filter- bulletin type
公告类型中文,Bulletin type Chinese
公告类型,Type of bulletin
已撤回,Withdrawn
发布开始日期,Release start date
查询-类型,Query - type
关键字,Keyword
发布,Release
置顶,Set top
新增公告,New announcement
公告详情,Details of the announcement
已发布,Published
未发布,Unpublished
未浏览占比,Non browsing ratio
编辑公告,Editorial Bulletin
撤回,withdraw
浏览记录,Browse records
发布结束日期,Release date
标题,Title
类型,type
占位文字,Placeholder text
通知公告-查看,Notice Bulletin - check
返回,Return
发布人,Publisher
内容,content
是否置顶,isTop
是否置顶,isTop
公告详情-ymf,Details of the announcement -ymf
公告详情-ymf,Details of the announcement -ymf
全部接收人姓名,Full recipient name
全部接收人姓名,Full recipient name
全部接收人姓名,Full recipient name
发布人姓名,Publisher's name
发布人姓名,Publisher's name
发布人姓名,Publisher's name
发布人姓名,Publisher's name
发布人姓名,Publisher's name
创建人姓名,Name of the Creator
创建人姓名,Name of the Creator
创建人姓名,Name of the Creator
公告内容,Bulletin content
公告内容,Bulletin content
公告内容,Bulletin content
通知公告_YMF,Notice bulletin _YMF
竞品名称,Competition name
竞品厂商,Competitive product manufacturer
竞品编码,Bidding code
竞品产地,Origin of competitive products
竞品管理,Competitive product management
竞品图片,Competitive picture
name路径,Name path
竞品规格,Competition specification
竞品简称,Bidding for short
查询-竞品编码,Query - competition coding
查询-竞品名称,Query - contest name
订单费用,Order cost
目标销量,Target sales
记录状态,Record state
费用编码,Cost coding
目标销售额,Target sales
费用名称,Cost name
费用金额,Cost amount
查询-费用编码,Query cost coding
费用形式,Cost form
查询-费用形式,Query - cost form
费用内容,Cost content
查询-费用名称,Query - cost name
发起,Launch
目标销售额(元),Target sales (yuan)
申请人,Applicant
费用金额(元),Cost amount (yuan)
关注区域,Area of concern
竞品品类,Competitive product category
竞品品牌,Competitive brand brand
导出指定客户,Exporting the specified customer
导入指定客户,Importing the specified customer
待审批,To be examined and approved
驳回,Reject
未发起,Not initiated
竞品管理详情,Competitive product management details
通知公告详情_YMF,Notice bulletin details _YMF
新增竞品,New competition
编辑竞品,Editors
调试-日历控件,Debug - Calendar control
调试-崇斌,Debug - Chong Bin
费用分摊类型,Cost sharing type
投放月份,Launch month
费用申请人,Cost applicant
投放客户类型,Launch customer type
订单费用-详情页面,Order cost - details page
归属月份,Attribution month
搭赠,Give a gift
费用项目,Cost item
查询-竞品品类,Query - competitive product category
关联促销活动,Related promotional activities
对象类型,object type
促销活动id,Sales promotion ID
订单-产品列表,Order - Product List
品类id,Category ID
品牌id,Brand ID
订单管理,Order management
申请人id,Applicant ID
申请人营销区域,Applicant marketing area
活动,activity
名称/编码/条码,Name / code / bar code
辅导费,Coaching fee
品牌,brand
资产投放,Asset delivery
资产型号,Asset model
资产名称,Asset name
资产编码,Asset coding
出厂编号,Factory number
资产编号,Asset number
投放终端,Launch terminal
投放终端名称,Launch terminal name
资产规格,Asset specifications
投放日期,Launch date
使用状态,Use state
资产管理,asset management
投放终端记录,Launch terminal record
查询-资产编码,Query asset coding
查询-资产名称,Query - Asset name
查询-资产类型,Query - asset type
查询-使用状态,Query - usage state
订单来源,Order source
制单人,Single person
订单编号,Order number
是否厂家直供,Does the manufacturer make a direct supply
最终订单金额,Final order amount
终端订单列表,Terminal order list
下单人,Single person
投放方式,Delivery mode
资产类型,Asset type
异常,abnormal
交货日期,Date of delivery
优惠金额,Preferential amount
结算方式,Settlement method
订单类型,Order type
折扣金额,Discounted amount
订单来源id,Order source ID
收货人地址,Address of the consignee
收货人,Consignee
下单人id,Single person Id
营销组织id,Marketing organization ID
收货人电话,Phone
供货商编号,Supplier number
终端订单详情,Terminal order details
终端订单产品列表,Terminal order product list
终端订单产品详情,Terminal order product details
价格管理,Price management
终端订单购物车,Terminal order shopping cart
原生页面,Native PAGE
订单-产品列表2,Order - Product List 2
资产投放-详情页面,Asset release - details page
陈列纯度,Purity of display
押金金额,Deposit amount
投放时间,Launch time
新增资产,New assets
编辑资产,Edit the assets
资产-投放终端纪录,Asset release terminal record
查询-投放时间,Query - delivery time
产品名称/编码/条码,Product name / code / bar code
阿斯蒂芬,A Stephen
厂家直供,Manufacturer's direct supply
创建日期,Creation date
实际贷款,Real loan
供货商,supplier
投放信息,Release information
终端订单,Terminal order
查看已选,View the selected
投放终端-选择列表,Launch Terminal - selection list
工作轨迹,Work trajectory
选择,Choice
下单编辑弹窗,Single edit window
选择投放终端,Select the launch terminal
订单编辑弹窗,Order edit window
工作轨迹图,Work trajectories
查看终端订单详情,View terminal order details
赠品价格,Gift price
赠品规格,Gift specification
赠品管理,Gift management
赠品管理详情,Details of the gift management
赠品单位,Gift unit
赠品品类,Gift category
赠品名称,Name of gift
赠品价格(元),Gift price (yuan)
新增赠品,New gift
编辑赠品,Editor's gift
分销单位（单位）,Distribution unit (unit)
单价（元）,Unit price (yuan)
单品（单位）,Single product (unit)
分销返利（元）,Distribution rebate (yuan)
赠品编号,Gift number
赠品图片,Gift picture
查询-赠品编号,Inquiries - Gift numbering
查询-赠品名称,Query - Gift name
查询-赠品品类,Inquiries - gift category
终端价格,Terminal price
最低价,Minimum price
建议价,Suggested price
渠道客户价格,Channel customer price
最高价,The highest price
参与活动,Participation activities
销售类型,Sales type
价格单,Price list
价格单详情,Details of the price list
产品id,product id
价格单导入,Price single import
价格单导出,Price list
通过,adopt
导入渠道客户,Importing channel customers
导入终端客户,Importing terminal customers
下一步,Next step
添加到购物车,Add to the shopping cart
购物车,Shopping Cart
添加产品,Add products
整单优惠,A single discount
赠品数量,Number of gifts
投放终端id,Launch terminal ID
作废,To void
查询,query
选择客户,Select customers
选择搜索,Select Search
价格单_新增,New price
竞品促销价,Competitive price promotion price
key路径值,Key path value
陈列拍照,Display and take pictures
竞品零售价,Retail price of competitive goods
查询-字典值,Query dictionary value
价格单id,Price list ID
竞品管理采集报表,Competitive product management collection report
实际使用纯度,Actual use of purity
拍照,Photograph
资产巡检采集报表,Assets inspection and collection report
查询-营销组织名称,Query - marketing organization name
SKU数目,SKU number
资产巡检,Asset inspection
目标使用纯度,Target use purity
确认订单,Confirmation of order
送货地址,Delivery address
页面状态_新增,New page status
页面状态_编辑,Page status editor
竞品零售价(元),Retail price of competitive products (yuan)
陈列形式,Display form
竞品促销价(元),Competitive price promotion price (yuan)
订单费用-详情页面-第2步,Order cost - details page - second step
客户名称id,Customer name ID
搭赠规则,Give a gift rule
投放范围,Scope of delivery
指定客户,Designated customer
占位,seize a seat
拜访订单,Visit the order
电话订单,Telephone order
选择-订单客户列表,Selection - order customer list
选择产品,Selection of products
选择费用,Selection cost
选择赠品,Choice of gifts
订单费用-详情页面-第1步,Order cost - details page - first step
选择终端订单客户,Select terminal order customer
单品数量,Single quantity
分销数量,Distribution quantity
分销单价,Distribution unit price
查询-下单人,Query - single person
选择-订单下单人列表,Selection - single person list under order
查询-客户编号,Query - customer number
选择终端订单下单人,Select the single person under the terminal order
费用结束时间,End of cost
费用投放金额,Amount of cost
费用开始时间,Start of cost
新增客户-终端列表,New customer - terminal list
费用目标销售额,Cost target sales
订单产品,Order product
测试新增客户,Testing new customers
客户表格列表行定义,Customer table list row definition
客户表格列表,List of customer tables
促销活动,Sales promotion
分销价格,Distribution price
产品小计,Product submeter
SKU名称,SKU name
费用表格列表,List of cost tables
移除费用,Removal cost
费用表格列表行定义,Cost table list row definition
新增费用,New cost
分摊比例,Apportionment ratio
分摊金额(元),Apportionment of amount (yuan)
分销返利,Distribution rebate
金额,Amount of money
新增客户-渠道列表,New customer - channel list
费用目标销售金额,Cost target sales amount
查询-渠道客户名称,Query - channel customer name
产品表格,Product form
赠品表格,Gift form
表格1,Table 1
表格2,Table 2
表格3,Table 3
操作,operation
查看购物车,Look at the shopping cart
促销活动下拉框,Sales promotion frame
奖励数量,Number of rewards
奖励类型,Reward type
费用-新增产品,Cost - new products
查询-赠品编码,Query gift coding
费用-新增赠品,Cost - New Gift
查询-赠品类型,Query - gift type
赠品编码,Gift coding
搭赠模式,Give a gift model
赠品表格列表行定义,Definition of a list of gift tables
移除赠品,Remove the gift
产品表格列表,Tabular list of products
产品项目,Product project
每笔订单最多可选择多少种赠品,How many kinds of gifts are available for each order
赠品项目,Gift project
产品表格列表行定义,Product table list row definition
赠品表格列表,List of gifts
移除产品,Remove the product
申请人营销区域id,Applicant marketing area ID
订单返利,Order rebate
产品总价,Total product price
费用id,Cost ID
查询-申请人营销区域id,Query - applicant marketing area ID
查询-费用id,Query - cost ID
提交订单,place order
新增订单费用,New order cost
app编辑0616,App editor 0616
查询-年份,Inquiries - year
批量新增,Batch addition
人员KPI列表,Staff KPI list
查询-对象名,Query object name
组织KPI列表,Organization of KPI list
赠品,Gift
本品,This product
简单搭赠,Simply give a gift
搭赠坎级,Give a gift to the camp
不全额累进,Incomplete accumulation
坎级搭赠,Cambridge
全额累进,Full progress
整理数据,Tidy up the data
添加一条测试数据,Add a test data
购买数量,Purchase quantity
购买单位,Purchase unit
终端信息修改,Terminal information modification
qtesterkai,Qtesterkai
分摊比例(百分比%),Proportion of apportionment (percentage%)
测试路线1,Test route 1
测试一下嵌套,Test nesting
实际路线,Actual route
计划路线,Planned route
测试路线2,Test route 2
调试-工作轨迹,Debug - work trajectory
所属KA名称,The name of the KA
终端信息修改1,Terminal information modification 1
qtestdetail0125,Qtestdetail0125
查询-指标项,Query - index item
规则表格列表,List of regular tables
本品数量,Quantity of this product
坎级,Sill level
规则表格列表行定义,Rule table list row definition
新增规则,New rules
整理规则数据,Sorting rule data
移除规则,Remove rules
活动时间,Activity time
单点限额,Single point limit
费用计划列表,Cost plan list
人员KPI批量设置,Staff KPI batch setup
赠送,Give
购买,purchase
赠送赠品数量,Give away the number of gifts
购买本品数量,Purchase the quantity of this product
≤ 本品总量 ≤,Less than the total amount of this product
选择成员,Select members
购买(本品名称),Purchase (the name of this product)
赠送(赠品名称),Gift (name of a gift)
新增坎级,New level
组织KPI设置,Organization KPI settings
字典值x,Dictionary value x
积分,integral
新增本品,Add this product
是否投放到区域,Do you put it in the area
是否投放到渠道客户类型,Whether or not it is put into the channel customer type
是否投放到KA,Is it put to KA
上级客户名称,Superior customer name
渠道客户信息修改,Channel customer information modification
选择人员,Selection staff
设置年份,Set Year
设置年费,Set up the annual fee
费用类型,Cost type
终端投放申请-费用信息,Terminal application - cost information
费用信息,Cost information
移除终端,Remove terminal
移除渠道,Remove channels
渠道编号,Channel number
新增渠道,New channels
渠道表格列表,List of channel tables
渠道表格列表行定义,Channel table list row definition
渠道名称,Channel name
选择渠道,Selection channel
渠道级别,Channel level
人员KPI设置（旧）,Staff KPI settings (old)
组织KPI批量设置,Organization of KPI batch settings
选择组织,Selected organization
费用分摊类型,Cost sharing type
（需要切换年份，请在查询条件中进行更改）,(to change the year, please make changes in the query conditions).
设置年份（需要切换年份，请在查询条件中进行更改）,Set year (need to switch year, please change in query condition)
单价,Unit Price
指标id,INDEX ID
费用申请记录,Cost application record
投放金额,Amount of investment
投放状态,Launch state
赠品单品单位,Single gift unit
赠品分销单位,Gift distribution unit
查询-产品编号,Query product number
查询-赠品规格,Query - Gift specification
待审核,To be audited
待发起,To be launched
审核状态,Audit status
测试解析异常,Test parsing exception
保存并发布,Save and publish
通知公告-详情,Notice Bulletin - details
附件上传,Attachments upload
审核通过,Review and pass through
审核不通过,Audit does not pass through
提交修改,Submission of modification
字典值bbb,Dictionary value BBB
字典值ww,Dictionary value WW
字典值xxx,Dictionary value XXX
字典值ee,Dictionary value EE
字典值mmm,Dictionary value mmm
字典值aaa,Dictionary value AAA
审批人,Approver
费用编号,Cost number
协议拍照,Photo of the agreement
投放申请审批意见,Comment on the application of the application
计划内容,Plan content
申请时间：,Application time:
活动时间：,Activity time:
费用名称：,Name of the cost:
投放金额：,Amount of investment:
终端名称：,Terminal name:
投放状态：,Launch status:
申请人：,Applicant:
执行时间,execution time
执行状态,State of execution
正在执行,Being carried out
费用项目名称,Cost item name
上报状态,State of reporting
费用正在执行,The cost is being carried out
稽核状态,Audit status
费用稽核,Cost audit
执行说明,Executive instructions
费用计划,Cost plan
稽核类型,Audit Type
是否必须稽核,Whether it must be audited
费用名称/终端名称,Cost name / terminal name
执行拍照,Take a photo
执行金额,amount of money involved in execution
查询-投放客户类型,Query - put the customer type
成员信息,Member information
执行上报,Carry out a report
测试aaa,Test AAA
测试aaabbbb,Test aaabbbb
测试aaabbbbdd,Test aaabbbbdd
审核人,Auditor
客户id,Customer ID
审核时间,Audit time
审核意见,Audit opinion
终端投放申请单,Terminal application form
投放金额(元),Amount of money (yuan)
执行历史记录,Historical records
执行时间段,Execution time
调试表单q,Debug form Q
执行人,Executor
执行记录详情,Execution of record details
终端稽核,Terminal audit
稽核历史纪录,Historical record of audit
稽核人,Auditor
稽核时间,Audit time
上一步,The last step
稽核说明,Audit explanation
稽核纪录详情,Details of audit records
稽核金额,Audit amount
稽核照片,Audits
渠道拜访执行统计表,Channel visit execution statistics
渠道客户情况分析表,Channel customer analysis table
终端销售业绩分析表,Terminal sales performance analysis table
资产状况统计表,Asset status statistics
终端费用执行分析表,Terminal cost execution analysis table
分销（单位）,Distribution (unit)
终端申请,Terminal application
费用执行上报,Cost implementation
历史记录,Historical records
实际投放金额(元),Actual amount of money (yuan)
费用管理导航,Cost management navigation
状态中文值,State value of Chinese
申请人名称,Name of the applicant
渠道类型值,Channel type value
审批,Examination and approval
记录id,Record ID
终端投放申请审批,Examination and approval of terminal application
费用类型：,Type of cost:
费用计划-列表,Cost plan - List
执行上报2,Carry out the report 2
查询-费用类型,Query - cost type
终端客户拜访趋势,Terminal customer visit trend
终端拜访统计报表,Terminal visit statistical report
保存类型,Save type
投放纪录,Launch record
投放记录,Release record
投放记录-列表,Drop the record - List
查询-审核状态,Query - audit status
费用计划-详情-第一步,Cost plan - details - first step
申请人所属营销区域,The marketing area of the applicant
费用类别,Cost category
区域内客户是否需要申请,Do customers in the region need to apply
申请人姓名,Applicant's name
是否有指定客户,Whether there is a designated customer
是否投放到渠道类型,Will it be put into the channel type
单点限额(元),Single point limit (yuan)
堆箱,Heap box
堆头,Pile head
竞品零售价(元),Retail price of competitive products (yuan)
陈列架,Display frame
费用稽核列表,Cost audit list
稽核列表,Audit list
资产ID,Asset ID
稽核状态(是否已稽核),Audit state (whether or not it has been audited)
费用或终端名称,Cost or terminal name
稽核状态（是否已稽核）,Audit state (whether or not it has been audited)
稽核历史记录,Historical record of audit
稽核开始时间,Audit start time
稽核结束时间,Audit end time
竞品ID,Competitive ID
未稽核,Unaudited
已稽核,Audits
执行时间x,Execution time x
执行时间y,Execution time y
费用计划内容,Cost plan content
费用Id,Cost Id
终端Id,Terminal Id
执行时间：,Execution time:
终端地址：,Terminal address:
稽核x状态,Audit x state
不必须稽核,No audit must be made
必须稽核,Must check
抽查稽核,Check audit
申请（计划）信息,Application (plan) information
申请信息,Application information
执行信息,Execution of information
正常执行,Normal execution
不正常执行,Abnormal execution
实际执行金额(元),Actual execution amount (yuan)
查看资产巡检,Check asset inspection
终端id,Terminal ID
查看竞品管理,View competition management
UI_组织KPI_新增客户,UI_ organization KPI_ new customers
组织KPI_新增客户,Organizing KPI_ new customers
费用执行历史记录,History of cost execution
费用稽核历史记录,History of cost audit
赠送单位,Grant unit
赠送数量,Number of gifts
js转flycode,JS to flycode
查询-费用时间,Query - cost time
执行历史,The execution of history
费用或终端客户,Cost or terminal customer
渠道客户拜访统计,Channel customer visit statistics
终端销售业绩,Terminal sales performance
费用投放统计,Cost release statistics
执行时间:,Execution time:
费用名称:,Name of the cost:
活动时间:,Activity time:
投放金额:,Amount of investment:
申请,Apply
未执行,unexecuted
已执行,executed
UI_组织KPI_销售金额,UI_ organization KPI_ sales amount
UI_组织KPI_销售数量,UI_ organization KPI_ sales volume
UI_成员KPI_拜访次数,UI_ member KPI_ visits
UI_成员KPI_新增客户,UI_ member KPI_ new customers
UI_成员KPI_销售金额,UI_ member KPI_ sales amount
UI_成员KPI_销售数量,UI_ member KPI_ sales volume
longtengtest,Longtengtest
费用执行审核,Cost implementation review
拍照质量,Photo quality
更多执行,More implementation
查询-执行状态,Query execution state
查询-审核结果,Query - audit results
审核结果,findings of audit
更多稽核,More audits
执行正常,Perform normal
执行异常,Execution abnormality
执行人:,Executor:
执行状态:,State of execution:
操作日志,Operation log
组织kpi统计报表,Organization of KPI statistical reports
人员kpi统计报表,Personnel KPI statistical report
销售金额,sales amount
销售数量,Sales volumes
查询-费用执行执行状态,Query - cost execution state
查询-费用稽核执行状态,Query - cost audit execution state
人员KPI批量设置2,Personnel KPI batch setting 2
组织KPI批量设置2,Organization of KPI batch setting 2
查询-稽核执行状态,Query - audit execution state
查询-修改时间,Query modification time
关联组织成员,Associate organization member
查询-组织岗位名称,Query - organization post name
费用计划-详情-第二步,Cost plan - details - second steps
优秀,excellent
费用执行审核-审核页面,Cost execution audit review page
不通过,Not through
图片质量,Picture quality
良好,good
订单录入,Order entry
客户管理-妍测试,Customer management - Yeon test
电话下单,Telephone order
陈列,display
通用,currency
执行记录,Execution record
投放范围内客户是否需申请,Do customers need to apply within the scope of delivery
稽核时间:,Audit time:
稽核人:,Auditor:
申请(计划)信息,Application (plan) information
稽核信息,Audit information
稽核记录,audit logging
订单费用-新增规则,Order cost - new rules
订单费用-新增费用项目,Order cost - new cost item
订单费用-新增产品,Order cost - new product
订单费用-新增赠品,Order cost - New Gift
订单费用-新增渠道客户,Order cost - new channel customers
订单费用-新增终端客户,Order cost - new terminal customers
费用计划-新增费用项目,Cost plan - new cost project
费用计划-新增终端客户,Cost plan - new terminal customers
终端客户-电话下单,Terminal customer - phone order
渠道客户-电话下单,Channel customer - phone order
渠道客户-2,Channel customer -2
终端客户-2,Terminal customer -2
今日销售金额,Today's sales amount
今日销售数量,Today's sales volume
订单列表-电话下单,Order list - phone list
未审核,Unaudited
订单费用-审核页面,Order cost audit page
确认审核通过所选的计划？,Confirm the audit through the selected plan?
提示,Prompt
订单详情-电话下单,Order details - phone orders
费用编码1,Cost code 1
计划内容：,Plan content:
需求测试,Demand test
主按钮,Main button
次按钮,Button
费用计划-审核页面,Cost plan - Audit page
情况,Situation
产品总计,Product total
供应商,Supplier
数量,Number
金额(元),Amount (yuan)
客户,Customer
查询-手机端时间,Query - cell phone end time
终端详情页面LCY,Terminal details page LCY
需求验证,Requirement verification
终端列表12,Terminal list 12
已作废,Have been abandoned
订单-产品列表123,Order - Product List 123
订单--产品列表,Order - Product List
费用执行,Cost execution
时间范围,time frame
申请费用,Application fee
执行费用,expense of execution
加入购物车,Add to cart
购物车1,Shopping cart 1
业代终端销售业绩,Industry terminal sales performance
订单列表,Order list
通知公告-web,Notice bulletin -web
取消置顶,Cancel the roof
已加入购物车产品数量：,The number of products that have been added to the shopping cart:
产品数量,Quantity of products
最近巡检,Recent inspection
资产状况,Asset status
是否将选中的人员KPI替换为以下值？,Is the selected person KPI replaced by the following value?
是否将当前查询得到的所有人员KPI替换为以下值？,Do you want to replace all the staff KPI in the current query to the following values?
订单编号:,Order number:
客户名称:,Customer Name:
订单日期:,Order date:
稽核实际投放金额(元),Audit actual amount of money (yuan)
稽核拍照,Check and take photos
是否将当前查询得到的所有组织KPI替换为以下值？,Do you want to replace all the organizational KPIs from the current query with the following values?
是否将选中的组织KPI替换为以下值？,Do you replace the selected organization KPI to the following value?
费用执行主管,Cost Executive
主管-终端费用执行,Executive terminal cost execution
资产状况主管,Asset status manager
订单详情,Order details
单品量,Single quantity
分销量,Sub sales
整单优惠（元）,A single discount (yuan)
预览订单,Preview Order
销售业绩,Sales performance
营销区域id,Marketing area ID
人员列表,Staff list
订单编号或客户名称,Order number or customer name
销售排名（按数量）,Sales ranking (by quantity)
销售排名（按金额）,Sales ranking (by amount)
销售趋势,Sales trend
终端销售情况,Terminal sales
早退明细,Early retreat
缺卡明细,Lack of card details
签到,Sign in
签退,Sign back
地点,place
终端销售业绩主管,Terminal sales performance Supervisor
合计,Total
合计数量,Total quantity
合计金额,Total amount
查看,See
分类价格,Classified price
客户价格,Customer price
客户价格导出,Customer price export
客户价格导入,Customer price introduction
渠道拜访情况主管,Channel visiting director
主管渠道拜访情况,Executive channel visits
渠道拜访情况业代,Channel visit
销售趋势2,Sales trend 2
详情,details
已浏览,Have been browsed
通知公告-浏览记录,Notice Bulletin - browse record
未浏览,Not browsed
浏览时间,Browsing time
合计申请,Joint application
合计执行,Total implementation
异常合计,Abnormal aggregate
资产合计,Total Assets
渠道客户订单-详情,Channel customer orders - details
订单分组,Order grouping
渠道客户订单-选择客户,Channel customer orders - select customers
查询-订单分组,Query order grouping
查询-品牌id,Query - brand ID
渠道客户订单列表,Channel customer order list
查询-品类id,Query - class ID
查询-条码,Query bar code
查询-促销活动id,Query - promotion activity ID
查询-产品名称/编码,Query product name / code
查询-订单日期,Query - order date
关联促销活动显示值,Associated promotional activity display value
渠道客户订单,Channel customer order
查询-供货商名称,Query - supplier name
查询-endtime,Query -endtime
查询-订单编号,Query - order number
查询-是否厂家直供,Query - is the manufacturer direct supply
查询-订单状态,Query order state
营销组织全名,Full name of marketing organization
查询-begintime,Query -begintime
查询-订单来源,Query - order source
查询-厂家直供,Inquiries - manufacturer direct supply
查询-开始结束时间,Query - start time
查询-记录状态,Query - record state
订单费用-列表-web,Order cost - list -web
订单费用-新增第一步-web,Order cost - new first step -web
实际货款,Real money
坎级-最小值,Sill level - Minimum
坎级-最大值,Sill level - maximum value
阿萨法,Asafa
查询-资产编号,Query - asset number
新增渠道客户订单,New channel customer order
费用二级菜单,Cost two menu
申请记录,Application record
终端投放申请,Terminal application
消息-通知公告列表,Message notification bulletin list
人员KPI设置菜单,Staff KPI settings menu
通知公告详情,Notice bulletin details
终端销售业绩统计,Terminal sales performance statistics
合同有效期,Term of validity of the contract
转换主岗位,Conversion of the main post
查询-促销活动,Inquiries - promotion activities
渠道客户_2,Channel customer _2
日选择,Day selection
周选择,Weekly selection
年选择,Annual selection
月选择,Month selection
稽核时间xx,Audit time XX
终端地址,Terminal address
已上报,Have been reported
未上报,Unreported
整单优惠(元),A single discount (yuan)
终端订单-购物车,Terminal order shopping cart
终端订单-详情,Terminal order - details
终端订单-添加产品,Terminal order - add product
终端订单-产品列表,Terminal order - Product List
终端订单-列表,Terminal order list
终端订单-查看详情,Terminal order - View Details
终端订单-选择下单人,Terminal order - select single person
终端订单-选择客户,Terminal order - select customer
终端订单-编辑,Terminal order - Edit
终端订单-查看,Terminal order - View
渠道客户订单-列表,Channel customer order list
渠道客户订单-编辑,Channel customer orders - Editors
渠道客户订单-购物车,Channel customer order shopping cart
渠道客户订单-产品列表,Channel customer order - Product List
渠道客户订单-添加产品,Channel customer orders - add products
渠道客户订单-查看,Channel customer order - View
编辑订单,Edit order
查看订单,View the order
新增订单,New order
渠道客户订单-选择下单人,Channel customer order - select single person
选择下单人,Choose a single person
请假日期,Date of leave
请假明细,Ask for leave
导入指定终端客户,Importing the specified terminal customer
日历范围(隐藏),Calendar range (hidden)
考勤类型,Type of attendance
系统管理,system management
终端订单-审核,Terminal order - Audit
订单审核是否通过？,Is the order review passed?
厂商直供,Direct supply of manufacturers
普通订单,Common order
能否编辑,Can it be edited
编码,Code
渠道客户订单-审核,Channel customer order - Audit
已生效,Have come into force
计划状态,Planned state
查询-计划状态,Query plan state
全部状态,All state
活动类型,activity type
拜访数据汇总,Visiting data collection
终端销售金额,Terminal sales amount
终端销售数量,Terminal sales volume
主管_终端销售业绩,Terminal sales performance
业代_终端销售业绩,Sales performance of the terminal
业代_终端费用执行,Terminal cost execution
业代_渠道拜访执行,A visit to the executive channel
业代_资产状况,Asset status
主管_终端费用执行,Executive terminal cost execution
主管_资产状况,Asset status
完成率,Completion rate
主管_渠道拜访执行,Executive channel visit
拜访数,Number of visits
制定计划,Draw up a plan
工作管理,Work management
业绩板,Performance board
人员KPI统计报表,Personnel KPI statistical report
组织KPI统计报表,Organization of KPI statistical reports
系统设置,System setup
系统,system
名字,Name
待审批费用申请列表,Application list for examination and approval
1-执行时间,1- execution time
1-穿梭框,1- shuttle box
引擎线上调试表单1,Debug form 1 on the engine line
1-选择树控件,1- selection tree control
1-下拉选择控件,1- drop-down selection control
1-投资金额,1- investment amount
1-联级控件,1- couplet control
2-输入控件,2- input control
2-联级控件,2- couplet control
引擎线上调试表单2,Debug form 2 on the engine line
2-选择树控件,2- selection tree control
2-下拉选择控件,2- drop-down selection control
2-执行时间,2- execution time
我的报告_我收到的_详情,The details I have received from my report
创建时间-3,Create time -3
终端名称-3,Terminal name -3
是否有效地址-3,Is the valid address -3
营销组织-3,Marketing organization -3
详细地址-3,Detailed address -3
